Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tunisia,TUN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,120,,990,3300,32,
Tunisia,TUN,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),TX.VAL.MRCH.R3.ZS,0.418410041841004,0.543970988213962,2.33362143474503,0.318979266347687,,0.083402835696414,,,,0.197720400093045,0.587371512481645,0.657652685798381,0.778460449705665,0.921074273361686,5.81399116506637,0.287376463166748,0.840293468051078,0.689050905393419,0.59340501017523,0.031305203372018,0.335737211769604,0.003247135417724,0.002024004695691,0.52522250181548,0.712804441427283,0.63256770496349,0.724302576967987,0.607496990618223,0.311758737184877,0.599892102388097,0.77092920414527,0.610187271537089,0.704891572922864,0.530048984970233,0.685786957303637,0.70852736203156,0.768533283759949,1.13781915361195,0.796901103542517,0.392619799321872,1.10161958265429,0.58186800757006,0.717668187233049,0.845744770737922,0.830727645903788,0.539538356873945,0.773914631900758,0.915849770056995,1.14393345401356,0.8665804829504,0.772330623943856,0.729746190660885,0.723151269540275,0.882272093069899,0.370036684422254,0.372512279189252,0.365909489569738,0.318774237193392,0.26381613648342,0.368134748163785,
Tunisia,TUN,Medium and high-tech exports (% manufactured exports),TX.MNF.TECH.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6230641704602,21.3034920279222,21.2011929967606,21.2670594847229,19.2242936786604,20.165829194748,21.0227615843444,20.6974600529107,23.0580450586469,22.9808088397744,24.8260869749759,26.6910627126874,27.4377035315219,28.1618059196407,29.5464938931166,31.409195401396,32.3273592798677,34.2987634959057,39.2113672804435,39.637260782426,45.0165359606083,45.7978955017105,45.2843502365486,46.816472885454,49.0947500039669,47.3707472015551,51.8670204887388,51.953779911338,51.953779911338,,
Tunisia,TUN,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,5.18053375196232,3.45316934720908,5.94795539033457,2.97699594046008,2.16867469879518,6.09508329947176,4.88195278111245,6.12088752869166,7.07070707070707,3.65519342065184,5.411672490937,4.79341230858133,5.94412436134362,6.17743092668785,7.47139113632554,5.86734514085152,5.60457890433361,5.98581513636762,4.65616349858297,5.26306464643601,5.07809839489636,2.94977539781235,3.1738355136083,5.79150091956126,5.20970670912212,5.81380689083803,6.10410409708813,5.52301402692606,7.78529300362534,9.50437045793267,8.46047655920911,4.89047605808198,6.51882882044388,6.13591894789404,5.92248871365304,5.89973303338114,7.96435491591616,10.5179691766409,8.94792166450509,7.42420816592123,8.9724264190069,9.95945274714173,11.8433513878274,11.149752752462,14.2961655762538,14.4832149790375,16.1777975854259,17.9205147449092,23.6826709217293,19.4756277596997,21.0661424149382,26.2360524966228,26.5965240244664,25.1695486211636,27.5680956662906,26.8270974896075,28.2400004388103,27.490258071844,26.9277118331753,25.7099570633688,
Tunisia,TUN,"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.08,,25.32,,,28.68,,,30.13,,41.38,,44.04,38.16,37.85,26.63,32.23,,26.74,25.05,17.86,22.34,22.14,12.27,,11.86,19.53,,,,
Tunisia,TUN,"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.33,,28.75,,,29.77,,,29.67,,27.09,,28.73,24.48,24.9,12.1,22.16,,21.32,21.27,18.15,15.69,14.94,6.16,,5.97,9.32,,,,
Tunisia,TUN,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,,,,,,,,,,7,,,,,,19.9,,
Tunisia,TUN,"Population, female",SP.POP.TOTL.FE.IN,2096114,2123352,2153456,2186955,2224290,2265697,2311693,2362133,2415774,2470881,2526209,2581460,2637141,2693813,2752372,2813578,2877138,2943067,3012728,3087893,3169609,3258540,3353739,3452603,3551567,3647972,3740553,3829756,3916719,4003393,4090990,4179850,4268867,4356207,4439365,4516534,4587333,4652373,4712124,4767441,4819180,4867302,4912227,4955875,5000690,5048472,5100085,5155241,5213163,5272485,5332211,5392042,5452275,5513160,5575114,5638324,5702823,5768089,5833160,5896740,
Tunisia,TUN,"Population ages 65 and above, total",SP.POP.65UP.TO,155814,157560,158885,159875,160496,160637,163655,166700,169821,173000,176206,182737,189009,194993,200898,207047,215172,223608,232266,240821,249085,262157,276199,291286,307791,326161,338281,351695,366841,383565,401388,419903,438836,458853,481274,507096,535344,565298,595848,625464,653241,675476,695652,714075,731069,746960,758133,768546,778363,787525,796175,805054,812594,821462,835479,856944,885038,920659,961725,1004982,
Tunisia,TUN,"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y,4.63515087211424,4.54286644082867,4.48256614722209,4.44681607968694,4.43373140810389,4.45130129933526,4.51167565215247,4.5959595959596,4.68591018861864,4.75964799528588,4.80546526868147,4.8520254832734,4.87672250999189,4.88022359400864,4.86939815206732,4.85143999968723,4.81752712763369,4.78032417915479,4.73401043770586,4.66583524752963,4.56841837589431,4.46706193571354,4.34998591123031,4.2278535933613,4.11421443786049,4.02056486210139,3.92690809455612,3.84886239459182,3.8153873178035,3.86622047847913,4.01728576610683,4.26596954386129,4.6002636767065,4.9585786537282,5.26735242540318,5.49352545701517,5.66813251539948,5.78131021795123,5.8616853624033,5.94874692733481,6.06022312099218,6.18128131607862,6.31264972827016,6.450967205199,6.58807084622322,6.71472078201833,6.84178927249041,6.97140755537615,7.07994902898607,7.1363150910112,7.12698594879573,7.06213494786202,6.93678046024867,6.79369123945092,6.69708638984946,6.68372255944806,6.72432117367878,6.84190561652514,7.01174097945899,7.19541523020937,
Tunisia,TUN,"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y,9.2519821211929,9.29987552693832,9.14530795642721,8.77035590075347,8.30521573410649,7.97758923633655,8.40916887248339,9.08383923052825,9.85170798261758,10.510847165135,10.9612949374299,11.1910013643453,11.240245114025,11.188015788784,11.1419491471541,11.1542353381478,11.1615006569023,11.1972760361311,11.2512202383817,11.2901904308213,11.2946738856433,11.2087315177963,11.1221369607318,11.038425211355,10.9528616257903,10.8568327042163,10.7429627346346,10.577099579477,10.3789166391564,10.2003975128098,10.0864679408144,10.0686460533125,10.1199757125081,10.2155590366668,10.3146733823418,10.3941849227339,10.4670231993288,10.5308239605139,10.5911004926439,10.6487946049044,10.694726217889,10.7087326300288,10.6929802989761,10.6289966437827,10.4966514620982,10.2899786569212,9.99854120049788,9.65201834326723,9.27447254150506,8.89594143783868,8.53328787377546,8.19871818410775,7.88383554005947,7.5814610099219,7.30064387955684,7.05603171154554,6.82961993722054,6.6513224664126,6.51652046515448,6.41723962439592,
Tunisia,TUN,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,420.755,412.868,404.98,395.678,386.375,377.073,367.771,358.469,344.733,330.997,317.261,303.525,289.789,281.423,273.057,264.691,256.325,247.959,237.267,226.575,215.883,205.191,194.499,188.032,181.565,175.098,168.631,162.164,153.88,145.595,137.311,129.027,120.743,114.373,108.002,101.632,95.261,88.891,87.15,85.409,83.668,81.927,80.185,79.151,78.117,77.083,76.049,75.015,74.819,74.624,74.428,74.232,74.037,72.908,71.779,70.65,69.521,68.392,67.321,66.27,
Tunisia,TUN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1299991607666,,,,,,,,15.9399995803833,,15.210000038147,14.9399995803833,14.3999996185303,14.5500001907349,14.5100002288818,14.2299995422363,12.8699998855591,12.5100002288818,12.3599996566772,12.4399995803833,13.289999961853,13.0500001907349,18.3299999237061,17.6299991607666,15.9300003051758,,15.1599998474121,15.5600004196167,15.3299999237061,15.460000038147,15.1300001144409,
